employee_id,review_year,rating,promotion
200002,2018,4,No
200008,2018,4,No
200010,2018,3,No
200020,2018,3,No
200031,2018,3,No
200032,2018,2,No
200041,2018,3,No
200051,2018,4,No
200054,2018,3,No
200056,2018,3,No
200066,2018,4,No
200069,2018,4,No
200084,2018,3,No
200102,2018,2,No
200104,2018,3,No
200112,2018,3,No
200117,2018,5,No
200118,2018,3,No
200119,2018,2,No
200127,2018,4,No
200132,2018,4,No
200138,2018,3,No
200144,2018,4,No
200147,2018,3,No
200173,2018,3,No
200179,2018,4,No
200181,2018,3,No
200182,2018,3,No
200187,2018,3,No
200191,2018,4,No
200192,2018,4,No
200201,2018,3,No
200203,2018,3,No
200205,2018,2,No
200211,2018,3,No
200215,2018,2,No
200220,2018,4,No
200230,2018,4,No
200257,2018,4,No
200261,2018,3,No
200267,2018,4,No
200280,2018,2,No
200286,2018,2,No
200300,2018,3,No
200314,2018,3,No
200327,2018,3,No
200339,2018,3,No
200350,2018,3,No
200371,2018,5,No
200375,2018,3,No
200382,2018,3,No
200384,2018,3,No
200392,2018,3,No
200403,2018,3,No
200410,2018,3,No
200435,2018,3,No
200441,2018,3,No
200444,2018,5,No
200468,2018,4,No
200477,2018,3,No
200478,2018,2,No
200488,2018,3,No
200494,2018,3,No
200496,2018,3,No
200504,2018,4,No
200516,2018,3,No
200523,2018,1,No
200533,2018,3,No
200539,2018,5,No
200552,2018,3,No
200580,2018,3,No
200593,2018,3,No
200600,2018,3,No
200606,2018,4,No
200614,2018,3,No
200624,2018,3,No
200626,2018,3,No
200632,2018,4,No
200635,2018,2,No
200639,2018,3,No
200647,2018,5,No
200659,2018,3,No
200660,2018,3,No
200671,2018,3,No
200673,2018,4,No
200680,2018,4,No
200683,2018,3,No
200688,2018,2,No
200690,2018,3,No
200732,2018,5,No
200739,2018,3,No
200743,2018,3,No
200772,2018,3,No
200774,2018,3,No
200781,2018,3,No
200790,2018,5,No
200794,2018,1,No
200820,2018,3,No
200823,2018,3,No
200829,2018,3,No
200832,2018,4,No
200835,2018,3,No
200841,2018,3,No
200853,2018,3,No
200859,2018,3,No
200865,2018,4,No
200869,2018,2,No
200879,2018,3,No
200885,2018,3,No
200887,2018,3,No
200892,2018,3,No
200896,2018,3,No
200926,2018,3,No
200933,2018,3,No
200941,2018,3,No
200947,2018,3,No
200949,2018,3,No
200978,2018,4,No
200981,2018,3,No
200991,2018,4,No
200994,2018,3,No
200995,2018,3,No
201002,2018,3,No
201007,2018,3,No
201016,2018,3,No
201020,2018,3,No
201021,2018,2,No
201027,2018,3,No
201028,2018,5,No
201030,2018,4,No
201050,2018,5,No
201054,2018,4,No
201066,2018,3,No
201068,2018,3,No
201071,2018,3,No
201080,2018,3,No
201086,2018,3,No
201090,2018,2,No
201093,2018,5,No
201098,2018,3,No
201100,2018,3,No
201101,2018,3,No
201112,2018,5,No
201116,2018,3,No
201125,2018,3,No
201137,2018,3,No
201141,2018,3,No
201145,2018,3,No
201146,2018,3,No
201161,2018,3,No
201182,2018,3,No
201187,2018,4,No
201203,2018,3,No
201205,2018,3,No
201207,2018,3,No
201210,2018,5,No
201217,2018,3,No
201220,2018,3,No
201229,2018,5,No
201240,2018,2,No
201264,2018,4,No
201289,2018,3,No
201294,2018,4,No
201299,2018,3,No
201306,2018,4,No
201319,2018,5,No
201327,2018,3,No
201334,2018,4,No
201335,2018,3,No
201343,2018,3,No
201346,2018,4,No
201378,2018,3,No
201389,2018,3,No
201402,2018,4,No
201417,2018,5,No
201418,2018,3,No
201423,2018,3,No
201426,2018,4,No
201437,2018,3,No
201445,2018,4,No
201446,2018,2,No
201459,2018,3,No
201494,2018,3,No
201500,2018,3,No
201507,2018,5,No
201509,2018,3,No
201516,2018,3,No
201518,2018,4,No
201521,2018,4,No
201567,2018,5,No
201577,2018,3,No
201593,2018,4,No
201597,2018,3,No
201603,2018,4,No
201615,2018,4,No
201623,2018,3,No
201626,2018,3,No
201632,2018,3,No
201633,2018,3,No
201644,2018,3,No
201646,2018,4,No
201649,2018,1,No
201660,2018,4,No
201662,2018,3,No
201665,2018,2,No
201703,2018,4,No
201705,2018,3,No
201716,2018,3,No
201720,2018,3,No
201735,2018,3,No
201737,2018,2,No
201740,2018,3,No
201742,2018,3,No
201756,2018,4,No
201763,2018,3,No
201768,2018,5,No
201773,2018,5,No
201776,2018,3,No
201777,2018,3,No
201789,2018,3,No
201802,2018,3,No
201803,2018,3,No
201807,2018,3,No
201808,2018,4,No
201819,2018,5,No
201867,2018,3,No
201871,2018,3,No
201874,2018,3,No
201900,2018,3,No
201906,2018,4,No
201913,2018,2,No
201915,2018,4,No
201917,2018,5,No
201918,2018,3,No
201924,2018,3,No
201925,2018,3,No
201950,2018,3,No
201956,2018,4,No
201961,2018,3,No
201968,2018,5,No
201971,2018,3,No
201975,2018,5,No
201990,2018,3,No
202004,2018,2,No
202009,2018,3,No
202013,2018,3,No
202023,2018,2,No
202029,2018,5,No
202042,2018,3,No
202046,2018,3,No
202052,2018,1,No
202057,2018,4,No
202060,2018,1,No
202062,2018,3,No
202065,2018,3,No
202077,2018,4,No
202093,2018,5,No
202111,2018,4,No
202126,2018,2,No
202131,2018,5,No
202144,2018,4,No
202176,2018,3,No
202177,2018,3,No
202186,2018,3,No
202197,2018,3,No
202203,2018,5,No
202204,2018,2,No
202206,2018,4,No
202218,2018,3,No
202220,2018,5,No
202223,2018,5,No
202228,2018,1,No
202244,2018,3,No
202248,2018,3,No
202257,2018,4,No
202262,2018,3,No
202268,2018,4,No
202269,2018,3,No
202270,2018,3,No
202290,2018,3,No
202320,2018,3,No
202323,2018,3,No
202330,2018,4,No
202331,2018,2,No
202334,2018,2,No
202343,2018,4,No
202354,2018,3,No
202356,2018,4,No
202363,2018,3,No
202368,2018,2,No
202374,2018,3,No
202389,2018,4,No
202422,2018,3,No
202424,2018,3,No
202442,2018,2,No
202443,2018,5,No
202464,2018,3,No
202470,2018,3,No
202477,2018,3,No
202492,2018,3,No
202512,2018,5,No
202519,2018,3,No
202529,2018,4,No
202531,2018,2,No
202532,2018,4,No
202535,2018,4,No
202549,2018,2,No
202553,2018,3,No
202554,2018,3,No
202562,2018,2,No
202565,2018,4,No
202579,2018,3,No
202585,2018,4,No
202598,2018,3,No
202604,2018,3,No
202605,2018,3,No
202625,2018,3,No
202637,2018,4,No
202638,2018,3,No
202639,2018,4,No
202643,2018,3,No
202646,2018,3,No
202660,2018,5,No
202667,2018,3,No
202671,2018,3,No
202672,2018,3,No
202673,2018,2,No
202679,2018,3,No
202681,2018,3,No
202686,2018,4,No
202697,2018,3,No
202708,2018,3,No
202713,2018,2,No
202740,2018,4,No
202745,2018,3,No
202754,2018,4,No
202755,2018,2,No
202781,2018,5,No
202786,2018,2,No
202790,2018,4,No
202794,2018,5,No
202817,2018,3,No
202825,2018,4,No
202827,2018,3,No
202853,2018,4,No
202883,2018,3,No
202884,2018,5,No
202897,2018,4,No
202899,2018,3,No
202920,2018,3,No
202926,2018,5,No
202927,2018,5,No
202953,2018,3,No
202956,2018,3,No
202960,2018,3,No
202961,2018,2,No
202967,2018,3,No
202968,2018,3,No
203004,2018,3,No
203013,2018,4,No
203018,2018,3,No
203027,2018,1,No
203035,2018,2,No
203043,2018,3,No
203051,2018,4,No
203058,2018,4,No
203061,2018,3,No
203062,2018,3,No
203064,2018,3,No
203072,2018,3,No
203073,2018,3,No
203074,2018,3,No
203077,2018,3,No
203086,2018,2,No
203100,2018,1,No
203104,2018,5,No
203113,2018,3,No
203149,2018,3,No
203152,2018,3,No
203167,2018,3,No
203180,2018,3,No
203187,2018,2,No
203197,2018,3,No
203200,2018,4,No
203216,2018,4,No
203241,2018,3,No
203248,2018,3,No
203259,2018,4,No
203281,2018,5,No
203290,2018,3,No
203294,2018,4,No
203305,2018,5,No
203309,2018,3,No
203321,2018,3,No
203340,2018,5,No
203347,2018,3,No
203354,2018,3,No
203362,2018,3,No
203367,2018,3,No
203378,2018,3,No
203383,2018,5,No
203388,2018,4,No
203403,2018,5,No
203408,2018,4,No
203415,2018,3,No
203426,2018,3,No
203431,2018,3,No
203441,2018,4,No
203474,2018,2,No
203484,2018,3,No
203489,2018,4,No
203501,2018,3,No
203515,2018,4,No
203565,2018,3,No
203569,2018,4,No
203571,2018,3,No
203584,2018,3,No
203594,2018,3,No
203610,2018,4,No
203615,2018,3,No
203620,2018,3,No
203627,2018,3,No
203650,2018,4,No
203664,2018,5,No
203703,2018,3,No
203718,2018,3,No
203722,2018,2,No
203737,2018,3,No
203743,2018,4,No
203748,2018,3,No
203754,2018,3,No
203766,2018,3,No
203777,2018,4,No
203785,2018,3,No
203787,2018,3,No
203796,2018,3,No
203798,2018,3,No
203810,2018,2,No
203811,2018,3,No
203813,2018,3,No
203823,2018,3,No
203834,2018,3,No
203858,2018,3,No
203869,2018,4,No
203872,2018,2,No
203889,2018,5,No
203892,2018,5,No
203900,2018,4,No
203901,2018,3,No
203902,2018,5,No
203905,2018,3,No
203910,2018,4,No
203923,2018,3,No
203929,2018,5,No
203933,2018,3,No
203949,2018,3,No
203955,2018,3,No
203956,2018,3,No
203962,2018,2,No
203965,2018,4,No
203974,2018,3,No
203975,2018,3,No
203991,2018,4,No
203995,2018,2,No
204003,2018,2,No
204006,2018,4,No
204009,2018,4,No
204020,2018,2,No
204033,2018,4,No
204036,2018,2,No
204043,2018,3,No
204046,2018,4,No
204059,2018,5,No
204062,2018,3,No
204067,2018,3,No
204074,2018,5,No
204077,2018,3,No
204078,2018,3,No
204102,2018,4,No
204104,2018,3,No
204110,2018,5,No
204113,2018,3,No
204128,2018,3,No
204162,2018,3,No
204165,2018,5,No
204180,2018,3,No
204185,2018,3,No
204188,2018,3,No
204194,2018,3,No
204213,2018,4,No
204217,2018,3,No
204219,2018,3,No
204220,2018,5,No
204223,2018,4,No
204229,2018,1,No
204231,2018,3,No
204239,2018,3,No
204240,2018,2,No
204259,2018,3,No
204270,2018,5,No
204277,2018,5,No
204287,2018,4,No
204311,2018,5,No
204327,2018,5,No
204342,2018,3,No
204350,2018,4,No
204352,2018,3,No
204356,2018,3,No
204366,2018,3,No
204373,2018,4,No
204378,2018,5,No
204386,2018,3,No
204387,2018,4,No
204393,2018,5,No
204396,2018,3,No
204397,2018,3,No
204403,2018,4,No
204407,2018,3,No
204413,2018,3,No
204419,2018,5,No
204428,2018,4,No
204438,2018,5,No
204441,2018,3,No
204442,2018,3,No
204446,2018,3,No
204447,2018,2,No
204458,2018,4,No
204461,2018,5,No
204464,2018,3,No
204466,2018,3,No
204471,2018,4,No
204477,2018,3,No
204480,2018,4,No
204486,2018,4,No
204488,2018,4,No
204494,2018,3,No
204495,2018,3,No
204500,2018,3,No
204501,2018,3,No
204509,2018,4,No
204522,2018,3,No
204527,2018,3,No
204536,2018,3,No
204538,2018,2,No
204545,2018,3,No
204546,2018,4,No
204557,2018,3,No
204560,2018,3,No
204567,2018,3,No
204570,2018,3,No
204577,2018,3,No
204586,2018,5,No
204609,2018,3,No
204618,2018,3,No
204626,2018,2,No
204644,2018,3,No
